Asignaturas;(195111C) MATEMÁTICA DISCRETA;(1811151) ARQUITECTURA DE COMPUTADORES I;(195111B) INTRODUCCIÓN A LOS COMPUTADORES;(1951118) METODOLOGÍA DE LA PROGRAMACIÓN I;(1951116) ANÁLISIS MATEMÁTICO;(1951115) ÁLGEBRA Y ESTRUCTURAS DISCRETAS;(1811153) MODELOS DE INTELIGENCIA ARTIFICIAL;(19611L4) PROGRAMACIÓN CONCURRENTE;(1811141) INGENIERÍA DEL SOFTWARE II;(1951129) REDES DE COMPUTADORES;(1951126) SISTEMAS OPERATIVOS I;(1811143) INTELIGENCIA ARTIFICIAL E INGENIERÍA DEL CONOCIMIENTO;(1951125) TEORÍA DE ALGORÍTMOS;(1811145) TRANSMISIÓN DE DATOS Y REDES DE COMPUTADORES I;(1951121) BASES DE DATOS;(1951122) ESTRUCTURA DE LOS COMPUTADORES;(1951123) INGENIERÍA DEL SOFTWARE I;(1961133) INSTRODUCCIÓN AL DISEÑO DE COMPUTADORES;(195111F) FUNDAMENTOS TECNOLÓGICOS DE LOS COMPUTADORES;(1961131) REDES;(19611F1) AUDITORÍA INFORMÁTICA;(19511I1) TÉCNICAS DE MODELIZACIÓN DE SISTEMAS;(19611G1) GESTIÓN DE SISTEMAS INFORMÁTICOS;(19611G8) NUEVAS TECNOLOGÍAS DE LA PROGRAMACIÓN;(19611G7) MODELOS DE LA INTELIGENCIA ARTIFICIAL;(19511H9) SISTEMAS MULTIMEDIA;(19511H3) SEGURIDAD Y PROTECCIÓN DE SISTEMAS INFORMÁTICOS;(2961114) FUNDAMENTOS DEL SOFTWARE;(1811115) FUNDAMENTOS FÍSICOS DE LA INFORMÁTICA;(2961115) FUNDAMENTOS DE PROGRAMACIÓN;(1811116) ÁLGEBRA Y ESTRUCTURAS FINITAS;(2961112) CÁLCULO;(2961113) FUNDAMENTOS FÍSICOS Y TECNOLÓGICOS;(2211134) TRANSMISIÓN DE DATOS Y REDES DE COMPUTADORES;(18111B5) DISEÑO Y CONTROL DE MODELOS;(2211135) SISTEMAS DE CONMUTACIÓN;(2211132) ELECTRÓNICA DE POTENCIA;(2211133) SISTEMAS ELECTRÓNICOS DIGITALES;(18111B1) DISEÑO ASISTIDO POR COMPUTADORA;(18111B2) DISÑO AUTOMÁTICO DE SISTEMAS DIGITALES;(19611H7) SISTEMAS INFORMÁTICOS DISTRIBUIDOS;(181111C) MATEMÁTICA DISCRETA;(2211131) COMUNICACIONES II;(181111B) INTRODUCCIÓN A LOS COMPUTADORES;(18111A7) CONTROLADORES LÓGICOS PROGRAMABLES;(19511G5) LENGUAJES DE PROGRAMACIÓN;(19511G2) INFORMÁTICA DOCUMENTAL;(2961111) ALGEBRA LINEAL Y ESTRUCTURAS MATEMÁTICAS;(19511G9) OFIMÁTICA;(1811119) METODOLOGÍA DE LA PROGRAMACIÓN I;(1811117) ANÁLISIS MATEMÁTICO;(2961123) SISTEMAS OPERATIVOS;(2961124) SISTEMAS CONCURRENTES Y DISTRIBUIDOS;(2961125) ESTRUCTURAS DE COMPUTADORES;(18111A5) CÁLCULO AVANZADO;(2211121) TEORÍA DE LA COMUNICACIÓN;(18111A6) CÁLCULO SIMBÓLICO;(2211122) TRANSMISIÓN DE ONDAS;(2211123) SISTEMAS TELEMÁTICOS;(2211124) FUNDAMENTOS DE PROGRAMACIÓN;(18111A1) ALGORÍTMICA;(19611I2) TECNOLOGÍA DE CIRCUITOS DE CONMUTACIÓN;(19511F5) DISEÑO DE INTERFACES DE USUARIO;(2961122) ESTRUCTURA DE DATOS;(19511F7) ENTORNOS DE DESARROLLO DE SOFTWARE;(2961121) PROGRAMACIÓN Y DISEÑO ORIENTADO A OBJETOS;(1811133) INGENIERÍA DEL SOFTWARE I;(1811131) DESCRIPCIÓN DE LENGUAJES DE PROGRAMACIÓN;(1811132) PROGRAMACIÓN DECLARATIVA;(2961134) FUNDAMENTOS DE REDES;(18111D1) RECONOCIMIENTO DE FORMAS;(2961135) INGENIERÍA DE SERVIDORES;(18111D3) SEMÁNTICA DE LENGUAJES Y PROGRAMACIÓN;(2211114) FUNDAMENTOS DE INFORMÁTICA;(18111D5) SISTEMAS DE CONTROL DIGITAL;(2211115) INGENIERÍA, EMPRESA Y SOCIEDAD;(18111D6) SISTEMAS DE INFORMACIÓN;(2211112) ÁLGEBRA LINEAL Y GEOMETRÍA;(2211113) ANÁLISIS DE CIRCUITOS;(1951132) CONTABILIDAD;(18111D8) TEORÍA DE SEÑAL Y DE LA COMUNICACIÓN (virtual);(18111D9) VISIÓN ARTIFICIAL;(2211111) ANÁLISIS MATEMÁTICO;(18111C9) PROGRAMACIÓN DISTIRBUIDA Y PARALELA;(2961133) INFORMÁTICA GRÁFICA;(2961132) DISEÑO Y DESARROLLO DE SISTEMAS DE INFORMACIÓN;(2961131) MODELOS DE COMPUTACIÓN;(196111D) INTRODUCCIÓN A LOS COMPUTADORES;(196111C) MATEMÁTICA DISCRETA;(196111A) METODOLOGÍA DE LA PROGRAMACIÓN I;(1811121) BASES DE DATOS I;(1811122) ESTRUCTURA DE LOS COMPUTADORES I;(1811123) TEORÍA DE ALGORÍTMOS;(1811124) SISTEMAS OPERATIVOS I;(1811125) MODELOS DE COMPUTACIÓN I;(18111C3) LÓGICA INFORMÁTICA;(18111C1) INGENIERÍA DEL CONOCIMIENTO: AMPLIACIÓN;(1961117) ÁLGEBRA Y ESTRUCTURAS DISCRETAS;(1961118) ANÁLISIS MATEMÁTICO;(18111C8) PROGRAMACIÓN DIRIGIDA A OBJETOS;(1961116) FUNDAMENTOS FÍSICOS DE LA INFORMÁTICA;(181112A) TECNOLOGÍA DE LOS COMPUTADORES II;(18111B8) IMPLEMENTACIÓN HARDWARE DE ALGORITMOS
(18111B5) DISEÑO Y CONTROL DE MODELOS;0;4;0;0;0;0;3;0;3;0;0;3;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;3;1;1;1;0;0;0;2;0;0;2
(2211135) SISTEMAS DE CONMUTACIÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94;0;0;82;92;0;0;0;0;77;0;0;0;0;0;0;0;0;0;0;0;0;22;0;16;13;6;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(2211132) ELECTRÓNICA DE POTENCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;0;82;0;86;0;0;0;0;73;0;0;0;0;0;0;0;0;0;0;0;0;16;0;9;12;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;2;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(2211133) SISTEMAS ELECTRÓNICOS DIGITALES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;0;92;86;0;0;0;0;0;81;0;0;0;0;0;0;0;0;0;0;0;0;23;0;19;14;7;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;3;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(18111B1) DISEÑO ASISTIDO POR COMPUTADORA;0;19;0;0;1;0;18;0;35;0;0;40;0;43;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;0;21;0;0;0;0;1;2;0;0;0;1;0;2;0;0;0;23;0;0;0;0;0;1;4;1;0;4;0;2;0;5;0;18;0;0;0;6;8;0;11;0;0;0;0;0;0;6;2;17;5;5;0;1;0;0;2;0;1;0
(18111B2) DISÑO AUTOMÁTICO DE SISTEMAS DIGITALES;0;11;0;0;0;0;11;0;2;0;0;3;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;3;0;0;1;0;0;4;0;0;0;0;1;0;0;1;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;7;0;1;0;1;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;2;0;0;0;0;0;0
(19611H7) SISTEMAS INFORMÁTICOS DISTRIBUIDOS;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(181111C) MATEMÁTICA DISCRETA;0;2;0;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;4;3;2;0;0;0;0;2;0;2;0
(2211131) COMUNICACIONES II;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;0;77;73;81;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;11;0;10;9;6;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;2;2;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(181111B) INTRODUCCIÓN A LOS COMPUTADORES;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0
(18111A7) CONTROLADORES LÓGICOS PROGRAMABLES;0;16;0;0;0;0;18;0;26;0;0;29;0;33;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;21;4;0;1;0;0;0;0;0;0;0;1;2;0;0;0;1;0;3;0;0;0;20;0;0;0;0;0;1;2;1;0;4;0;0;0;8;0;11;0;0;0;6;5;0;7;0;0;0;0;0;0;3;1;12;5;1;0;3;0;0;1;0;1;0
(19511G5) LENGUAJES DE PROGRAMACIÓN;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(19511G2) INFORMÁTICA DOCUMENTAL;2;0;0;0;3;0;0;0;0;2;4;0;6;0;4;2;3;0;2;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(2961111) ALGEBRA LINEAL Y ESTRUCTURAS MATEMÁTICAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;386;0;408;0;409;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78;60;95;0;0;0;0;0;0;0;0;0;76;0;83;0;0;0;89;0;58;0;0;0;0;0;0;0;0;0;0;0;0;35;29;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(19511G9) OFIMÁTICA;1;0;0;1;3;0;0;0;0;1;4;0;4;0;0;3;4;0;1;0;0;1;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(1811119) METODOLOGÍA DE LA PROGRAMACIÓN I;0;3;0;0;0;0;2;0;2;0;0;5;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;4;4;4;0;0;0;0;0;0;1;0
(1811117) ANÁLISIS MATEMÁTICO;0;3;0;0;0;0;2;0;5;0;0;5;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;6;0;0;0;2;0;0;0;2;0;0;4;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;6;4;7;6;5;0;0;0;0;2;0;4;0
(2961123) SISTEMAS OPERATIVOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;0;94;0;68;83;0;0;0;0;0;0;0;0;0;1;0;0;0;0;78;0;0;0;0;182;199;0;0;0;0;0;0;0;0;0;182;0;199;0;0;0;91;0;40;0;0;0;0;2;0;0;0;0;0;0;0;49;46;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(2961124) SISTEMAS CONCURRENTES Y DISTRIBUIDOS;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;68;0;54;61;0;0;0;0;0;0;1;0;0;0;0;0;0;0;60;0;0;0;182;0;189;0;0;0;0;0;0;0;0;0;176;0;188;0;0;0;74;0;37;0;0;0;0;2;0;0;0;0;2;0;0;39;46;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(2961125) ESTRUCTURAS DE COMPUTADORES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;0;107;0;84;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;0;0;0;199;189;0;0;0;0;0;0;0;0;0;0;189;0;185;0;0;0;82;0;44;0;0;2;0;0;0;0;0;0;0;0;0;51;41;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(18111A5) CÁLCULO AVANZADO;0;2;0;0;0;0;4;0;2;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0
(2211121) TEORÍA DE LA COMUNICACIÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;22;16;23;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98;94;82;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;12;0;19;18;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(18111A6) CÁLCULO SIMBÓLICO;0;6;0;0;0;0;6;0;2;0;0;1;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;2;0;6;0;0;0;2;1;0;3;0;0;0;0;0;0;0;0;2;0;1;0;1;0;0;0;0;1;0
(2211122) TRANSMISIÓN DE ONDAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;16;9;19;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;98;0;0;92;91;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;13;0;19;26;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(2211123) SISTEMAS TELEMÁTICOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;13;12;14;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;94;0;92;0;88;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;12;0;25;23;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(2211124) FUNDAMENTOS DE PROGRAMACIÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;6;3;7;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;82;0;91;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;10;0;20;22;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(18111A1) ALGORÍTMICA;0;18;0;0;0;0;14;0;34;0;0;38;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;23;1;0;0;0;0;20;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;2;0;1;0;2;0;8;0;0;0;4;13;0;15;0;0;0;0;0;0;2;0;16;2;2;0;3;0;0;1;0;0;0
(19611I2) TECNOLOGÍA DE CIRCUITOS DE CONMUTACIÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(19511F5) DISEÑO DE INTERFACES DE USUARIO;1;0;0;0;2;1;0;0;0;3;7;0;5;0;1;3;4;0;2;0;0;1;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(2961122) ESTRUCTURA DE DATOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;77;0;68;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;0;0;0;182;176;189;0;0;0;0;0;0;0;0;0;0;0;189;0;0;0;70;0;40;0;0;0;0;0;0;0;0;0;0;0;0;43;42;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(19511F7) ENTORNOS DE DESARROLLO DE SOFTWARE;1;0;0;1;1;0;0;0;0;1;2;0;3;0;0;2;2;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0
(2961121) PROGRAMACIÓN Y DISEÑO ORIENTADO A OBJETOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;93;0;74;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83;0;0;0;199;188;185;0;0;0;0;0;0;0;0;0;189;0;0;0;0;0;65;0;38;0;0;0;0;0;0;0;0;0;0;0;0;39;37;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(1811133) INGENIERÍA DEL SOFTWARE I;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
(1811131) DESCRIPCIÓN DE LENGUAJES DE PROGRAMACIÓN;0;3;0;0;0;0;2;0;7;0;0;9;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;4;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;3;0;1;0;0;0;2;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;3;1;8;5;6;0;0;0;0;3;0;1;0
(1811132) PROGRAMACIÓN DECLARATIVA;0;2;0;0;0;0;1;0;3;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;3;0;0;0;0;2;0;0;1
(2961134) FUNDAMENTOS DE REDES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;0;92;0;90;95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89;0;0;0;91;74;82;0;0;0;0;0;0;0;0;0;70;0;65;0;0;0;0;0;177;0;0;1;0;0;0;0;0;0;2;0;0;169;156;144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(18111D1) RECONOCIMIENTO DE FORMAS;0;17;0;0;0;0;19;0;3;0;0;3;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;4;7;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;5;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;16;0;0;0;4;2;0;5;0;0;0;0;0;0;1;0;2;0;1;0;8;0;0;1;0;0;0
(2961135) INGENIERÍA DE SERVIDORES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;66;0;60;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;40;37;44;0;0;0;0;0;0;0;0;0;40;0;38;0;0;0;177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;146;143;128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(18111D3) SEMÁNTICA DE LENGUAJES Y PROGRAMACIÓN;0;1;0;0;0;0;2;0;1;0;0;3;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
(2211114) FUNDAMENTOS DE INFORMÁTICA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;11;0;12;14;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114;0;121;117;0;0;0;118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(18111D5) SISTEMAS DE CONTROL DIGITAL;0;3;0;0;0;0;3;0;5;0;0;6;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;5;1;0;0;0;0;8;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;1;2;0;0;0;0;0;1;0;0;0;0;3;0;2;0;0;1;0;0;0;0;0;5;1;0;0;0;0;0;1;0;0;0
(2211115) INGENIERÍA, EMPRESA Y SOCIEDAD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;3;4;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;12;0;13;12;10;0;0;0;0;0;0;0;0;0;0;0;0;0;114;0;0;0;116;114;0;0;0;113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(18111D6) SISTEMAS DE INFORMACIÓN;0;33;0;0;0;0;28;0;14;0;0;26;0;33;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;18;4;0;1;0;0;11;0;0;0;0;0;1;2;2;0;2;0;6;0;0;0;8;1;0;0;0;0;1;2;0;0;16;0;1;0;1;0;0;0;0;0;16;5;0;6;1;3;0;0;0;0;3;0;11;2;2;1;8;0;0;1;0;0;0
(2211112) ÁLGEBRA LINEAL Y GEOMETRÍA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;19;0;19;25;20;0;0;0;0;0;0;0;0;0;0;0;0;0;121;0;116;0;0;125;0;0;0;128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(2211113) ANÁLISIS DE CIRCUITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;1;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;18;0;26;23;22;0;0;0;0;0;0;0;0;0;0;0;0;0;117;0;114;0;125;0;0;0;0;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(1951132) CONTABILIDAD;9;0;1;5;14;10;0;0;0;9;23;0;31;0;16;20;20;0;4;0;0;3;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(18111D8) TEORÍA DE SEÑAL Y DE LA COMUNICACIÓN (virtual);0;11;0;0;0;0;10;0;4;0;0;11;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;16;0;0;0;0;3;0;3;0;0;0;0;0;0;2;0;2;0;0;1;4;0;0;0;0;0;0
