7.0,114
17.0,35
24.0,86
31.0,61
41.0,42
48.0,334
55.0,198
65.0,55
72.0,268
79.0,143
89.0,194
96.0,661
103.0,173
113.0,107
120.0,225
127.0,47
137.0,102
144.0,325
151.0,191
161.0,251
168.0,916
175.0,73
185.0,43
192.0,300
199.0,170
209.0,204
216.0,285
223.0,309
233.0,57
240.0,591
247.0,478
257.0,438
264.0,141
271.0,680
281.0,17
288.0,157
295.0,246
305.0,37
312.0,193
319.0,5
329.0,404
336.0,800
343.0,246
353.0,46
360.0,328
367.0,174
377.0,55
384.0,384
391.0,235
401.0,162
408.0,289
415.0,503
425.0,86
432.0,516
439.0,627
449.0,53
456.0,38
463.0,50
473.0,227
480.0,98
487.0,405
497.0,402
504.0,94
511.0,238
521.0,279
528.0,494
535.0,66
545.0,27
552.0,85
559.0,193
569.0,97
576.0,226
583.0,526
593.0,78
600.0,116
607.0,55
617.0,112
624.0,439
631.0,46
641.0,57
648.0,42
655.0,50
665.0,218
672.0,835
679.0,790
689.0,82
696.0,423
703.0,21
713.0,1
720.0,82
727.0,220
737.0,234
744.0,157
751.0,24
761.0,218
768.0,224
775.0,209
785.0,92
792.0,119
799.0,74
809.0,20
816.0,120
823.0,104
833.0,275
840.0,338
847.0,110
857.0,215
864.0,48
871.0,8
881.0,37
888.0,201
895.0,119
905.0,31
912.0,413
919.0,413
929.0,563
936.0,245
943.0,417
953.0,47
960.0,198
967.0,43
977.0,36
984.0,205
991.0,23
1001.0,50
1008.0,689
1015.0,396
1025.0,15
1032.0,160
1039.0,14
1049.0,1
1056.0,328
1063.0,136
1073.0,129
1080.0,164
1087.0,25
1097.0,41
1104.0,309
1111.0,442
1121.0,22
1128.0,53
1135.0,22
1145.0,118
1152.0,346
1159.0,1
1169.0,365
1176.0,477
1183.0,219
1193.0,34
1200.0,237
1207.0,41
1217.0,195
1224.0,171
1231.0,135
1241.0,91
1248.0,183
1255.0,62
1265.0,51
1272.0,77
1279.0,52
1289.0,8
1296.0,83
1303.0,275
1313.0,72
1320.0,100
1327.0,6
1337.0,29
1344.0,874
1351.0,287
1361.0,9
1368.0,74
1375.0,45
1385.0,17
1392.0,128
1399.0,214
1409.0,155
1416.0,470
1423.0,30
1433.0,8
1440.0,490
1447.0,263
1457.0,1
1464.0,74
1471.0,6
1481.0,219
1488.0,120
1495.0,45
1505.0,111
1512.0,661
1519.0,156
1529.0,73
1536.0,8
1543.0,10
1553.0,2
1560.0,12
1567.0,233
1577.0,91
1584.0,74
1591.0,422
1601.0,489
1608.0,506
1615.0,97
1632.0,172
1639.0,51
1649.0,3
1656.0,125
1663.0,1
1673.0,196
1680.0,193
1687.0,242
1697.0,35
1704.0,25
1711.0,91
1721.0,1
1728.0,66
1735.0,202
1745.0,106
1752.0,52
1759.0,99
1769.0,108
1776.0,103
1783.0,231
1793.0,13
1800.0,15
1807.0,48
1817.0,216
1824.0,113
1831.0,384
1841.0,189
1848.0,520
1855.0,133
1865.0,177
1872.0,411
1879.0,80
1889.0,6
1896.0,17
1903.0,31
1913.0,54
1920.0,220
1927.0,453
1937.0,80
1944.0,84
1951.0,23
1961.0,95
1968.0,267
1975.0,46
1985.0,52
1992.0,63
1999.0,68
2009.0,26
2016.0,317
2023.0,54
2033.0,85
2040.0,600
2047.0,19
2064.0,12
2071.0,70
2081.0,59
2088.0,472
2095.0,31
2105.0,84
2112.0,11
2119.0,408
2129.0,2
2136.0,105
2153.0,31
2160.0,229
2167.0,1
2177.0,274
2184.0,608
2191.0,188
2201.0,25
2208.0,311
2215.0,47
2225.0,4
2232.0,64
2239.0,147
2249.0,37
2256.0,213
2263.0,22
2273.0,46
2280.0,80
2287.0,439
2297.0,7
2304.0,43
2311.0,77
2321.0,6
2328.0,173
2345.0,65
2352.0,66
2359.0,591
2369.0,58
2376.0,182
2383.0,42
2400.0,198
2407.0,255
2424.0,57
2431.0,141
2441.0,1
2448.0,174
2455.0,474
2472.0,20
2479.0,2
2489.0,5
2496.0,103
2503.0,29
2513.0,21
2520.0,161
2527.0,403
2537.0,129
2544.0,121
2551.0,38
2561.0,6
2568.0,183
2575.0,110
2585.0,13
2592.0,161
2599.0,45
2609.0,32
2616.0,146
2623.0,420
