18111D9,1811143,14
195111C,1951126,7
18111C9,1811153,8
18111A6,18111D9,1
19511F7,19511G2,1
19511H3,1951132,1
196111A,196111C,2
2211132,2211133,86
2211124,2211115,10
19511F5,19511H9,3
2211131,2211134,80
19611I2,19611F1,2
195111F,1951123,4
19611G1,1961117,1
196111C,1961131,8
1811143,2961124,1
19511G2,19511H9,1
1811141,1811151,34
2211124,2211114,12
2211123,2211115,12
18111A5,1811141,2
2961125,2961115,107
18111A1,1811145,38
1951118,1951121,3
1951116,1951123,13
195111B,195111F,1
181112A,1811143,2
19511F5,1951132,8
18111D8,18111A7,6
195111C,1951132,9
19511G2,1951125,6
19511G5,1951122,1
1811116,18111D6,1
1811131,1811123,8
19511G2,1951116,3
19511F5,1951123,4
181111C,1811151,2
19511F5,1951116,2
1811132,1811131,3
19511F7,1961118,1
1811122,1811141,2
1811131,18111D5,2
1811121,1811151,3
1961133,1961131,2
1811131,1811141,7
1811117,1811153,2
2211132,2211113,1
2211133,2211112,2
2211134,2211111,10
18111B5,1811117,2
1811119,1811151,3
1811125,1811145,11
2211135,2211134,94
18111A5,18111D8,1
18111A7,18111D6,11
2211124,2211121,82
2211123,2211122,92
2211131,2211114,2
2961131,2961111,48
18111B2,18111D6,4
18111B8,1811143,2
18111D1,18111B1,4
195111F,1951121,5
1951115,1951116,10
2211114,2211111,118
2211114,2211113,117
2211115,2211112,116
1811117,18111C9,1
2211113,2211112,125
19511G9,1951123,4
1811132,1811141,3
195111B,1951122,1
195111C,1951121,8
195111B,1951125,1
18111C1,18111A1,3
18111D3,18111D6,1
18111D1,18111D8,4
1811132,1811153,1
18111C9,1811141,15
19511G5,19511H3,1
1811121,18111C1,1
18111C1,18111C9,1
2961121,2961123,199
1951121,1951132,16
1811131,18111B1,4
19611G8,196111C,1
1961117,1961118,9
1951121,1951116,11
18111A5,1811153,4
1951115,1951122,7
18111A7,1811151,16
2211114,2211112,121
18111D9,18111B1,8
2211115,2211111,113
18111D9,2211135,1
18111B5,1811143,3
2211133,2211111,8
2211131,2211113,2
2211132,2211112,2
1951118,1951125,7
18111D9,1951126,1
2211123,2211121,94
18111D5,1811123,5
18111D1,1811141,3
18111D5,2961114,1
1811116,1811153,2
19511H3,1951125,3
19511F7,19511G9,2
1951129,1951123,7
2961133,2961111,35
2961132,2961112,37
2961131,2961113,54
19511H3,19511I1,2
196111D,1961117,1
196111C,1961118,7
18111C1,1811151,12
18111D8,1811123,2
2211121,2211111,22
1811117,1811141,5
2961133,2961114,31
2961132,2961115,38
2961134,2961113,95
2961135,2961112,60
1811115,1811143,1
19511F7,195111C,1
2961124,2961123,182
2961122,2961125,189
18111B2,1811141,2
19611G7,196111C,1
19511G9,19511G2,1
2961133,2961134,169
2961132,2961135,143
18111A6,18111A7,3
18111B5,1811125,1
19611F1,18111D6,1
18111D5,2961125,2
18111D6,2961124,2
19511I1,19511G2,2
18111A5,18111A7,1
2961123,2961111,78
2961123,2961114,62
2961122,2961115,77
19611G8,1961131,1
2211131,2961123,1
2961125,2961112,84
2961124,2961113,61
19511F5,1951122,3
2961121,2961113,81
2961122,2961112,68
1951132,1951123,20
2961122,2961121,189
2961132,2961111,29
2961131,2961112,54
18111B2,18111D1,7
181111B,1811145,1
1811121,1811131,3
19511F5,1951121,1
18111B8,1811124,1
195111F,1951125,6
1951122,1951125,30
1951121,1951126,26
18111D9,18111C9,7
181112A,1811141,4
1951115,1951132,10
181111C,1811117,4
18111D6,1811141,14
1811119,181111C,1
195111F,1951132,4
1811115,18111D1,1
1961117,1961131,4
18111B5,18111D9,1
18111D5,18111D1,2
19511G9,1951118,1
2961132,2961133,149
2961131,2961134,144
181111C,18111C8,2
18111B2,18111B1,3
2961124,2961111,60
1951118,1951129,2
1811141,1811143,76
2961123,2961112,68
2961121,2961114,68
2961122,2961113,77
1811131,1811153,2
18111D1,1811143,3
18111D3,1811141,1
1951115,1951121,12
19511F5,1951129,3
18111C1,1811153,9
2961113,2961111,400
18111C9,1811123,4
18111C8,1811124,3
1811119,181112A,1
19611G8,18111A7,1
1951122,1951123,21
1811141,1811145,85
18111A7,1811145,33
2961135,2961134,177
1811133,1811153,1
18111D1,18111A1,2
18111B5,1811151,4
18111C1,18111B1,1
19611G8,1961117,1
18111C9,18111A7,7
1811143,2961132,1
181112A,1811121,3
18111C3,1811143,1
18111C1,1811145,6
19511G5,1951125,1
18111A6,18111D8,2
1811116,1811117,6
18111C9,1811145,17
1811132,18111B1,1
18111D8,18111B1,6
195111C,1951129,3
195111F,1951126,5
18111D3,18111A1,1
19611G7,1951122,1
1811153,1811143,43
1811151,1811145,63
18111B2,18111A1,1
2211115,2211113,114
18111D9,18111D1,2
1811121,18111A1,2
1811116,1811121,2
2211135,2211133,92
1811119,1811124,4
18111D6,2961132,3
19511F7,1951125,3
1961116,1961131,4
2961135,2961113,59
2961134,2961114,80
2961133,2961115,36
19511F7,1951126,2
1811122,1811115,1
2961114,2961112,382
2961111,2961115,408
1811125,1811141,8
1811121,1811145,10
1811123,1811143,31
1811119,1811125,4
1811115,1811116,3
18111C9,1951126,1
19511H9,1951132,3
18111D9,1951116,1
2961123,2961125,199
18111C1,18111D9,2
196111D,1961131,1
2961135,2961125,44
1811122,1811116,1
1811121,1811117,6
1811124,1811141,9
18111D1,18111C9,5
1811122,1811143,2
1811153,1811151,83
1811115,1811123,5
19511H9,18111B1,1
19511F7,1961131,1
1811119,1811153,2
1811122,181112A,1
1951132,1951126,23
1951118,1951115,2
19511F5,195111C,1
18111D5,2961134,1
19611F1,1961118,1
18111D6,2961133,1
196111A,19611G1,1
18111C9,1951116,1
19611G8,19611G1,1
18111D9,2961114,2
18111C8,1811151,2
18111D8,1811141,4
18111D6,1811143,26
18111D5,18111D9,3
18111D8,18111D6,16
195111B,1951115,1
18111C8,1811143,3
18111A5,18111D1,1
2961112,2961111,409
181111B,18111C8,1
19511F7,1951116,1
1811123,18111B1,17
19611G8,19511H9,1
1811122,1811124,3
1811121,1811125,6
18111A5,1811143,3
18111C3,18111B5,1
2211131,2211122,10
2211132,2211121,16
19511F7,196111C,1
1811115,1811131,1
18111A7,1811141,26
18111D5,18111A1,2
18111D1,18111A7,4
18111A5,18111A1,1
196111A,1961131,2
18111A5,18111B5,2
181111C,1811121,2
196111A,1961118,4
18111A5,18111B1,1
196111C,1961116,5
181111B,1811124,1
181111C,1811123,4
18111D6,1811151,33
18111C8,18111D5,1
1811123,18111A7,12
18111B5,18111A1,1
1811119,18111B1,1
1811115,181112A,2
19511I1,1951132,3
195111F,195111C,5
1811133,1811141,1
1811131,1811143,9
1951118,1951122,5
1951115,1951125,14
1811121,1811153,2
1811123,1811151,25
195111B,1951132,1
181112A,18111B1,1
19511F5,1951125,5
19511F7,1951123,2
18111A1,18111B1,23
19511F7,1951122,2
19511G5,1951115,1
1811124,1811145,13
1811125,18111D6,2
18111D1,1811145,11
18111D3,1811143,3
18111D5,1811141,5
1961133,19611F1,1
18111A6,1811123,2
1811121,1811141,8
1811116,1811145,3
18111D3,18111B2,1
18111D1,18111D6,16
1811123,18111A1,16
181111B,181111C,1
19611G8,19611F1,1
18111C8,1811125,2
1811115,1811121,3
19511H3,195111F,1
19511G2,1951129,2
19511G9,1951122,3
181112A,18111A6,1
19511G9,19511H9,2
1811121,18111D6,3
18111C3,1811145,1
1951122,1951132,20
18111B5,1811153,3
18111D3,18111D9,1
18111A6,1811141,2
19511G5,1951116,1
18111D9,18111A1,13
18111D8,1811143,11
18111D6,1811145,33
2211121,2211114,11
2961124,2961121,188
2211122,2211113,26
2211124,2211111,22
2211123,2211112,25
19511F5,1951126,7
2961122,2961123,182
19511F7,19511H9,1
18111C8,1811153,2
2961134,2961111,89
19511G9,19511F5,3
2961133,2961112,41
2961132,2961113,37
2961131,2961114,47
1811116,1811125,2
1811117,1811124,6
18111B2,18111C9,1
18111A6,1811151,6
1951129,1951116,5
19611G1,1961131,3
18111A5,18111D6,2
18111A6,18111D5,2
18111C9,18111B1,11
19511G9,1951132,3
1951116,18111B1,1
18111C8,18111A1,1
195111F,1951116,7
18111C3,18111B8,1
19511I1,1951116,1
195111B,1951126,1
195111C,1951125,14
1811125,18111A7,1
19511G2,1951122,2
195111F,1951122,4
2961121,2961111,83
1811132,1811145,5
1951118,1951123,6
1951115,1951126,10
1951116,1951125,24
1951129,18111C9,1
1811124,1811153,3
19611G1,1961118,2
19511H3,19511H9,2
19511G9,1951116,3
1811124,18111C9,2
1951123,1951126,29
2211135,2211122,16
2211133,2211124,7
2211134,2211123,12
18111C9,18111D6,6
1961117,1961116,8
1811117,18111D6,1
19611G8,18111B1,1
19511H9,1951122,1
19611G7,1951132,1
19611F1,1961131,3
18111B2,1811145,6
181111B,1811115,1
19511F7,19511F5,1
18111D8,1811145,13
1811122,18111A7,1
18111C9,1811143,17
2211132,2211111,6
2211131,2211112,2
18111D3,1811145,4
18111D5,1811143,6
1951118,195111F,2
2211121,2211122,98
1961133,196111C,2
18111A6,18111B1,2
18111C1,1811141,3
18111A6,18111C9,3
18111B1,1811151,19
19511I1,19511G9,1
1811125,1811153,3
19611F1,196111C,1
19611G7,1961131,2
18111C8,18111A7,1
1961117,19511H9,1
2211132,2211115,3
2211135,2211112,2
2211133,2211114,2
2211134,2211113,4
2961121,2961134,65
19511H9,1961118,1
1811131,18111A1,1
2961133,2961122,43
2961132,2961123,46
2961131,2961124,42
2211135,2211124,6
19511H9,1951129,4
1811131,18111D6,2
1961133,1961116,2
1811121,18111B1,6
2211131,2211132,73
19511H3,19511G9,1
1811131,1811151,3
2211113,2211111,122
2211124,2211123,88
19511H9,18111A7,1
1961118,1961131,4
19611G7,19511G9,1
181112A,1811153,2
18111D9,18111D8,3
1811153,1811145,54
19511H9,1951115,2
18111D5,18111B1,5
1811121,18111D1,1
1961133,1961118,2
1811115,1811145,3
181111C,18111A7,1
1811119,1811141,2
1811117,1811143,5
19511H3,1951122,1
2211135,2211113,2
2211133,2211115,4
2211134,2211114,1
1811116,1811143,1
1811132,1811117,1
19511F7,1951129,1
18111B5,18111D1,1
18111D9,2961134,2
2961131,2961133,133
1811119,18111B5,1
19511G9,1951125,4
2961135,2961133,146
19511G9,1951129,1
195111B,1951116,1
195111C,1951115,7
1811125,1811124,6
196111A,1961116,3
19511H9,1951126,3
181111C,1811124,3
18111C1,18111D6,8
18111C1,18111D1,8
2961131,2961132,132
19611H7,19611G1,1
181111C,18111D6,1
181112A,18111A7,1
18111D9,2961124,2
1951129,1951132,9
2211131,2211124,6
2211132,2211123,12
2211133,2211122,19
2211134,2211121,25
1811124,1811123,10
1811122,1811125,2
2211135,2211114,2
2211134,2211115,2
2961112,2961115,396
2961114,2961113,390
18111B1,1811141,35
19611L4,19611G1,1
1811117,1811151,3
18111D5,1811153,3
18111A1,1811151,18
1811123,1811145,35
1811125,1811143,10
19511H3,1951121,1
1951121,1951123,24
19511G2,1951132,5
1951118,1951132,5
1811133,1811145,1
1951129,1951121,9
2211132,2211122,9
2211133,2211121,23
1811116,1811123,5
1811115,1811124,3
196111C,19511H9,1
18111D1,1811151,17
2211131,2211123,9
18111D3,18111C9,1
1811121,1811123,6
181112A,1811116,3
1811122,1811117,4
18111C9,18111A1,15
1811125,1811151,3
1811123,1811153,13
18111C9,1811151,10
1811119,1811131,2
18111D3,18111A6,1
18111D8,18111A1,4
181111B,1811121,1
19511H9,1961116,1
2961121,2961125,185
195111B,1951118,2
1811131,1811124,5
1811132,1811123,4
2961124,2961122,176
19611G1,196111C,1
1811133,1811143,1
1811131,1811145,9
19511G2,1951121,4
18111D9,1811141,16
18111D5,1811145,8
19511I1,1951122,2
18111C8,1811141,3
18111D9,1811151,5
1811122,181111C,1
2961135,2961121,38
18111B8,1811151,2
1951129,1951122,6
1951126,1951125,36
2961133,2961123,49
2961132,2961124,46
2961131,2961125,58
19611I2,19611G1,2
19611L4,1961131,1
18111D6,2961123,2
1951129,1951126,11
2961122,2961134,70
1811131,1811117,2
196111A,1961117,2
1811125,1811123,11
19611G8,19611G7,1
18111B2,2961124,1
18111D6,18111B1,18
18111D5,18111B2,1
1811116,1811131,2
181111B,1811116,1
18111B5,1811123,3
2961135,2961124,37
1811141,1811153,30
2961134,2961125,82
2961135,2961111,58
1811115,181111C,2
1811151,1811143,45
2961134,2961112,90
2961133,2961113,37
2961132,2961114,32
2961131,2961115,58
18111C8,18111B1,2
19511G2,195111C,2
2961135,2961115,66
18111C8,1811123,3
19511F5,1951115,1
19511H3,19511G2,1
195111C,1951116,12
2211115,2211114,114
1961117,196111C,7
1811115,1811117,5
18111A6,1811145,8
2961113,2961115,402
19511H3,1951129,1
19511H9,1951123,5
2211122,2211115,13
196111D,1961116,2
2211124,2211113,22
2211123,2211114,14
181112A,1811145,4
19511I1,1951123,3
1811131,18111D1,1
19611I2,1961131,3
18111A7,18111B1,21
18111A6,18111B2,3
19511H9,1951125,10
1811124,1811143,11
19511G9,195111C,1
1811122,1811145,3
181111C,1811153,1
2961135,2961123,40
2961133,2961125,51
1811116,1811151,2
1811133,18111D6,1
1811131,18111A7,2
195111B,1951123,1
195111C,1951122,7
19511G2,1951126,4
19511G5,1951123,1
2961124,2961134,74
2211131,2211135,77
2211132,2211134,84
1961118,1961116,8
19511I1,1951125,4
2211131,2211133,81
18111D3,18111D8,1
18111D5,18111D6,1
1951129,18111D9,1
1811119,1811121,3
1811117,1811123,7
2211131,2211121,11
18111D3,18111B1,2
18111C8,1811117,2
1811143,1811145,98
1811116,1811124,2
1811115,1811125,3
195111F,19511H9,3
2961114,2961115,414
1961133,19611G1,2
19511I1,1951126,4
181112A,1811125,2
18111C3,18111C1,1
1811122,18111C9,1
18111D3,18111C1,1
19511F5,195111F,2
1951121,1951125,29
1811132,18111A7,1
2961121,2961115,93
2961122,2961114,68
18111D8,1811153,10
2961125,2961111,95
2961123,2961113,83
2961124,2961112,54
2961132,2961121,37
2961131,2961122,42
18111C9,1951125,1
19511G2,195111F,2
1961133,19511H9,1
1811124,18111B1,5
1811132,1811119,1
181112A,1811117,4
2211132,2211135,82
2211133,2211134,95
